[2026-02-11 17:30:49] | IP: 127.0.0.1 | User: guest (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-11 17:31:08] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 17:39:27] | IP: 127.0.0.1 | User: guest (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-11 17:39:40] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 17:42:55] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 17:43:32] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 17:51:01] | IP: 127.0.0.1 | User: guest (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-11 17:51:22] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 21:05:28] | IP: 127.0.0.1 | User: guest (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-11 21:05:49] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 21:20:10] | IP: 127.0.0.1 | User: guest (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-11 21:20:25] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 21:52:02] | IP: 127.0.0.1 | User: guest (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-11 21:52:20] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 21:56:31] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 22:11:22] | IP: 127.0.0.1 | User: guest (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-11 22:40:37] | IP: 127.0.0.1 | User: guest (guest) | Ação: Logout efetuado | Detalhes: 
