[2026-02-16 00:01:38] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 00:01:52] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 00:42:45] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 00:42:59] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 01:31:41] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 01:49:16] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 01:52:07] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 01:52:20] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 01:53:25] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 01:53:33] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 01:55:43] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 01:55:52] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 02:00:49] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 02:00:59] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 12:42:31] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 12:44:32] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 14:55:54] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 15:30:32] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 21:15:49] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 22:44:34] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 22:44:44] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Login efetuado | Detalhes: ID: 2
[2026-02-16 23:26:00] | IP: 127.0.0.1 | User: 2 (guest) | Ação: Logout efetuado | Detalhes: 
[2026-02-16 23:26:29] | IP: 127.0.0.1 | User: 15 (guest) | Ação: Login efetuado | Detalhes: ID: 15
[2026-02-16 23:28:21] | IP: 127.0.0.1 | User: 18 (guest) | Ação: Login efetuado | Detalhes: ID: 18
